model,name,size,context  
alfred,alfred:latest,25769803776,2048,,
alfred,alfred:40b,25769803776,2048,,
alfred,alfred:40b-1023-q4_0,25769803776,2048,,
alfred,alfred:40b-1023-q4_1,27917287424,2048,,
alfred,alfred:40b-1023-q5_0,31138512896,2048,,
alfred,alfred:40b-1023-q5_1,34359738368,2048,,
alfred,alfred:40b-1023-q8_0,47244640256,2048,,
all-minilm,all-minilm:latest,48234496,512,,
all-minilm,all-minilm:l12,70254592,512,,
all-minilm,all-minilm:l6,48234496,512,,
all-minilm,all-minilm:v2,48234496,512,,
all-minilm,all-minilm:22m,48234496,512,,
all-minilm,all-minilm:33m,70254592,512,,
all-minilm,all-minilm:22m-l6-v2-fp16,48234496,512,,
all-minilm,all-minilm:33m-l12-v2-fp16,70254592,512,,
all-minilm,all-minilm:l12-v2,70254592,512,,
all-minilm,all-minilm:l6-v2,48234496,512,,
athene-v2,athene-v2:latest,50465865728,32768,,
athene-v2,athene-v2:72b,50465865728,32768,,
athene-v2,athene-v2:72b-q2_K,32212254720,32768,,
athene-v2,athene-v2:72b-q3_K_S,36507222016,32768,,
athene-v2,athene-v2:72b-q3_K_M,40802189312,32768,,
athene-v2,athene-v2:72b-q3_K_L,42949672960,32768,,
athene-v2,athene-v2:72b-q4_0,44023414784,32768,,
athene-v2,athene-v2:72b-q4_1,49392123904,32768,,
athene-v2,athene-v2:72b-q4_K_S,47244640256,32768,,
athene-v2,athene-v2:72b-q4_K_M,50465865728,32768,,
athene-v2,athene-v2:72b-q5_0,53687091200,32768,,
athene-v2,athene-v2:72b-q5_1,59055800320,32768,,
athene-v2,athene-v2:72b-q5_K_S,54760833024,32768,,
athene-v2,athene-v2:72b-q5_K_M,57982058496,32768,,
athene-v2,athene-v2:72b-q6_K,68719476736,32768,,
athene-v2,athene-v2:72b-q8_0,82678120448,32768,,
athene-v2,athene-v2:72b-fp16,155692564480,32768,,
aya-expanse,aya-expanse:latest,5.47608e+09,8192,,
aya-expanse,aya-expanse:8b,5.47608e+09,8192,,
aya-expanse,aya-expanse:32b,21474836480,8192,,
aya-expanse,aya-expanse:8b-q2_K,3.65072e+09,8192,,
aya-expanse,aya-expanse:8b-q3_K_S,4.18759e+09,8192,,
aya-expanse,aya-expanse:8b-q3_K_M,4.50972e+09,8192,,
aya-expanse,aya-expanse:8b-q3_K_L,4831838208,8192,,
aya-expanse,aya-expanse:8b-q4_0,5.15396e+09,8192,,
aya-expanse,aya-expanse:8b-q4_1,5.58346e+09,8192,,
